filename,ids,figs,needs.pooling,is.KM,pngfiles,from SLE,years
Hashimoto-1987-Differences in Clinical and Immunological Findings of SLE-16to49-summ.csv,Hashimoto_1987,NA,Yes,No,Hashimoto-1987-Differences in Clinical and Immunological Findings of SLE.png,,
Hashimoto-1987-Differences in Clinical and Immunological Findings of SLE-50plus-summ.csv,Hashimoto_1987,NA,Yes,No,Hashimoto-1987-Differences in Clinical and Immunological Findings of SLE.png,,
Heller-2007-fig1A.csv,Heller_2007,fig1,No,Yes,Heller-2007-fig1A.png,,
Hersh-2010-fig1-adult-summ.csv,Hersh_2010,fig1,No,No,Hersh-2010-fig1.png,,n
Jallouli-2012-fig1-normalPlateleteCount.csv,Jallouli_2012,fig1,Yes,Yes,Jallouli-2012-fig1.png,,n
Jallouli-2012-fig1-thrombocytopenia.csv,Jallouli_2012,fig1,Yes,Yes,Jallouli-2012-fig1.png,,n
Johnson-2006-fig1-asian.csv,Johnson_2006,fig1,Yes,Yes,Johnson-2006-fig1.png,,
Johnson-2006-fig1-black.csv,Johnson_2006,fig1,Yes,Yes,Johnson-2006-fig1.png,,
Johnson-2006-fig1-white.csv,Johnson_2006,fig1,Yes,Yes,Johnson-2006-fig1.png,,
Kao-2014-fig1-pc4dNegative.csv,Kao_2014,fig1,Yes,Yes,Kao-2014 fig1.png,,
Kao-2014-fig1-pc4dPositive.csv,Kao_2014,fig1,Yes,Yes,Kao-2014 fig1.png,,
Kasitanon-2006-fig1.csv,Kasitanon_2006,fig1,No,Yes,Kasitanon-2006-fig1.png,y,
Kaufman-1989-fig2 MEN ONLY-presentStudy.csv,Kaufman_1989,fig2 ,No,Yes,Kaufman-1989-fig2 MEN ONLY.png,,
Kellum-1964-fig1-female-summ.csv,Kellum_1964,fig1,Yes,No,Kellum-1964-fig1.png,y,
Kellum-1964-fig1-male-summ.csv,Kellum_1964,fig1,Yes,No,Kellum-1964-fig1.png,y,
Khanfir-2013-fig2.csv,Khanfir_2013,fig2,No,Yes,Khanfir-2013-fig2.png,,
Lerang-2014-fig1-summ.csv,Lerang_2014,fig1,No,No,Lerang-2014-fig1.png,y,
